               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.030492,            0.016733,            0.026219,             0.78963,              0.6426,             0.72778,             0.55032,            0.032088,           0.0075002,            0.029993,            0.006436,            0.006436,            0.006436
                  38,            0.030354,            0.016347,            0.025974,             0.77325,             0.65936,             0.72728,             0.55904,            0.031556,           0.0073426,            0.030296,            0.006337,            0.006337,            0.006337
                  39,            0.030142,            0.016438,            0.026606,             0.75487,             0.66372,             0.71291,             0.54869,            0.031368,            0.007394,            0.032972,            0.006238,            0.006238,            0.006238
                  40,            0.030133,            0.016567,            0.025625,             0.74853,             0.68598,             0.72947,             0.54978,            0.031766,           0.0072803,            0.032085,            0.006139,            0.006139,            0.006139
                  41,             0.02973,             0.01616,            0.025452,             0.77184,             0.66937,             0.73117,             0.55148,            0.032019,           0.0073069,            0.031016,             0.00604,             0.00604,             0.00604
                  42,            0.030537,            0.016564,            0.024324,             0.79151,             0.68095,             0.73674,             0.56386,            0.030743,            0.007306,            0.032228,            0.005941,            0.005941,            0.005941
                  43,             0.02913,            0.015916,            0.025351,             0.82171,             0.67365,             0.76584,             0.59826,            0.031097,            0.007246,            0.029445,            0.005842,            0.005842,            0.005842
                  44,            0.029587,            0.016269,            0.022161,              0.7954,             0.65314,             0.74282,             0.57651,            0.031249,           0.0072199,            0.031986,            0.005743,            0.005743,            0.005743
                  45,            0.029543,            0.015743,            0.023244,             0.80736,             0.68166,             0.76226,             0.58525,            0.031872,           0.0071441,            0.030103,            0.005644,            0.005644,            0.005644
                  46,            0.029165,            0.015969,            0.022759,             0.80912,             0.69687,             0.76649,             0.58656,            0.031659,           0.0072262,            0.029578,            0.005545,            0.005545,            0.005545
                  47,            0.029042,            0.015661,            0.022055,             0.81507,             0.67317,             0.76145,             0.58717,            0.030538,           0.0072076,            0.027664,            0.005446,            0.005446,            0.005446
                  48,            0.029498,            0.015856,            0.022444,             0.80598,             0.66934,             0.75954,             0.58808,            0.031097,           0.0071687,            0.029446,            0.005347,            0.005347,            0.005347
                  49,            0.029119,            0.016217,            0.021618,             0.80827,             0.70498,             0.76443,             0.58987,            0.031356,           0.0072922,            0.031668,            0.005248,            0.005248,            0.005248
                  50,            0.028488,            0.015454,            0.020972,             0.84547,             0.67901,             0.77236,             0.59134,            0.031073,           0.0073647,            0.028847,            0.005149,            0.005149,            0.005149
                  51,            0.028744,            0.016192,            0.020808,              0.8034,             0.69615,             0.76683,             0.60182,             0.02984,           0.0071489,            0.027343,             0.00505,             0.00505,             0.00505
                  52,            0.028448,            0.015544,            0.020404,             0.83316,             0.68202,             0.76424,             0.59305,            0.030464,            0.007183,            0.030273,            0.004951,            0.004951,            0.004951
                  53,            0.028419,            0.015715,              0.0212,             0.82553,             0.69516,             0.77553,             0.60142,             0.02969,           0.0072637,             0.02811,            0.004852,            0.004852,            0.004852
                  54,            0.028473,            0.015775,            0.020311,             0.86354,             0.71787,             0.78658,             0.61739,            0.030347,           0.0070312,            0.028002,            0.004753,            0.004753,            0.004753
                  55,            0.027561,            0.014986,            0.020812,             0.83879,             0.71636,             0.79627,             0.62375,            0.029667,           0.0070914,             0.02336,            0.004654,            0.004654,            0.004654
                  56,            0.027723,            0.015486,            0.019799,             0.82981,             0.72533,             0.78531,             0.61193,            0.029639,           0.0071306,            0.027918,            0.004555,            0.004555,            0.004555
                  57,            0.027341,            0.015145,            0.019719,              0.8687,             0.68246,             0.77697,             0.61056,            0.029578,           0.0072011,            0.028504,            0.004456,            0.004456,            0.004456
                  58,            0.027447,            0.015146,            0.018916,             0.86474,              0.6946,             0.78734,             0.61945,            0.029454,           0.0070976,            0.030133,            0.004357,            0.004357,            0.004357
                  59,            0.027336,             0.01502,            0.019498,             0.85237,             0.71503,             0.79596,             0.63088,            0.029449,           0.0071655,            0.029465,            0.004258,            0.004258,            0.004258
                  60,            0.027342,            0.015346,            0.019221,             0.86207,             0.73907,             0.81021,             0.64108,            0.029161,           0.0071765,            0.027619,            0.004159,            0.004159,            0.004159
                  61,            0.026689,            0.014971,            0.018389,             0.85098,             0.73798,             0.80172,             0.63252,            0.029295,           0.0071522,            0.028633,             0.00406,             0.00406,             0.00406
                  62,            0.027013,            0.015104,            0.018565,             0.84608,              0.7198,             0.78641,             0.62659,             0.02906,           0.0070987,             0.03016,            0.003961,            0.003961,            0.003961
                  63,            0.027008,            0.015198,            0.017404,             0.84871,             0.73234,             0.79864,             0.63457,            0.029207,           0.0070319,             0.03005,            0.003862,            0.003862,            0.003862
                  64,            0.026646,            0.014656,            0.017608,             0.84494,             0.72824,             0.79752,             0.63159,            0.029712,            0.007066,             0.02939,            0.003763,            0.003763,            0.003763
                  65,            0.026557,            0.014935,            0.016983,             0.85324,             0.73167,              0.8047,             0.63683,            0.029857,           0.0070455,            0.028356,            0.003664,            0.003664,            0.003664
                  66,            0.026283,            0.014695,            0.017418,             0.85845,             0.72884,              0.8066,             0.63934,            0.029502,           0.0070334,            0.029842,            0.003565,            0.003565,            0.003565
                  67,             0.02603,            0.014626,            0.016612,             0.86897,             0.72106,              0.8057,             0.64071,            0.029252,           0.0071027,            0.025627,            0.003466,            0.003466,            0.003466
